1	53	20
2	53	688
3	53	24
4	53	18
5	13	17
5	12	3
6	24	256
6	53	128
6	10	29
6	5	2
6	70	1
7	53	216
7	13	3
8	53	265
8	59	14
8	60	2
8	29	2
9	53	57
10	53	157
10	59	20
10	38	1
11	67	321
12	74	92
12	46	30
13	67	365
13	46	8
14	74	599
14	7	1
15	74	40
16	67	385
17	42	4
17	60	3
18	42	300
18	46	15
19	6	53
19	42	9
20	15	92
20	79	13
20	12	6
21	49	524
21	12	240
21	66	26
22	33	13
22	13	1
22	12	1
23	77	441
23	60	159
23	12	50
23	62	2
24	60	96
25	33	90
25	12	20
26	71	294
26	12	37
26	70	36
26	46	1
27	33	296
27	12	147
27	60	90
27	49	34
27	79	1
28	12	4
29	1	88
29	60	17
29	12	17
30	12	7
30	70	6
30	27	2
31	48	60
31	12	26
31	6	21
31	55	13
31	38	1
32	12	33
33	12	129
33	62	122
33	71	75
34	77	73
34	60	63
34	12	50
34	35	1
35	50	56
35	64	46
35	12	34
35	55	6
36	13	74
36	12	58
36	60	2
37	12	27
37	30	17
37	11	12
37	60	6
37	70	4
37	54	1
38	62	221
38	12	77
39	50	12
39	55	8
39	12	8
40	60	110
40	10	79
41	9	30
41	12	24
42	60	259
42	79	9
43	12	40
43	29	18
44	12	53
44	54	51
44	46	21
44	6	7
45	60	209
45	24	93
45	12	8
45	36	7
45	5	3
45	35	2
46	30	248
46	12	36
47	21	47
47	12	22
47	38	1
48	41	29
48	12	12
49	21	23
50	21	36
50	12	15
51	21	29
51	12	20
51	49	11
52	21	313
52	12	60
52	76	18
52	48	1
53	55	17
54	33	7
55	20	4
55	6	1
56	60	60
56	30	36
57	50	57
58	25	249
58	1	177
58	12	139
59	27	244
59	12	127
59	60	95
59	46	30
59	15	1
60	48	97
60	12	61
60	11	1
61	21	528
61	50	36
61	12	19
62	21	45
62	12	21
62	55	2
63	21	108
64	21	119
65	41	84
65	12	26
66	21	27
66	12	12
66	41	7
66	59	1
67	21	190
68	21	106
69	21	8
69	12	6
70	21	25
70	50	11
71	21	36
72	70	88
72	71	36
72	12	23
73	60	521
73	79	34
74	28	274
74	12	116
74	60	69
74	6	60
75	7	165
75	60	116
75	12	12
75	28	1
76	36	350
76	60	135
76	12	110
77	12	83
77	79	79
78	12	83
78	48	17
78	30	1
79	50	532
79	12	24
80	25	745
80	12	50
80	20	1
81	71	87
81	70	63
81	12	42
82	29	126
82	60	87
82	12	53
82	1	3
83	55	53
83	30	1
84	60	58
84	30	15
85	12	36
85	24	21
85	10	14
86	65	236
86	60	42
86	12	41
87	49	69
87	12	57
88	54	49
88	12	36
89	33	5
90	55	117
90	76	1
91	12	27
91	60	17
91	29	15
91	43	1
92	60	124
92	46	3
93	12	19
93	1	13
